asset_id,asset_class,source_layer,source_id,shape,diameter_m,width_m,height_m,barrels,slope_used,slope_basis,roughness_n,area_m2,data_capacity_m3s,nominal_fallback_m3s,capacity_method,best_guess_capacity_m3s,partial_blockage_capacity_m3s,post_widening_capacity_m3s,confidence,basis,dimension_refinement_note,dimension_provider,dimension_source_method,dimension_source_reference,topology_connected_local_count,topology_connected_mcg_local_count,topology_connected_local_capacity_sum_m3s,topology_connected_local_capacity_median_m3s,topology_connected_mcg_local_capacity_median_m3s,topology_capacity_floor_m3s,topology_capacity_floor_basis,topology_downstream_endpoint_closer_to_main_leg,topology_endpoint_elevation_drop_m,topology_endpoint_distance_change_to_main_leg_m,topology_flow_orientation_note,topology_capacity_check,topology_suggested_capacity_m3s,topology_model_capacity_m3s
SWD-LINE-1852,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1852,circular pipe,0.4,,,1.0,0.00528,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.151,,source-data Manning estimate,0.151,0.091,0.174,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1852,,,,,,,,True,0.506,76.075,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.151
SWD-LINE-1845,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1845,circular pipe,0.4,,,1.0,0.00287,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.112,,source-data Manning estimate,0.112,0.067,0.129,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1845,,,,,,,,False,0.482,-16.69,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.112
SWD-LINE-1844,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1844,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1844,,,,,,,,True,0.385,87.918,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.081
SWD-LINE-1858,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1858,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1858,,,,,,,,True,0.404,99.82,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.081
SWD-LINE-1849,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1849,circular pipe,0.4,,,1.0,0.01675,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.27,,source-data Manning estimate,0.27,0.162,0.31,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1849,,,,,,,,False,0.658,-77.731,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.27
SWD-LINE-1846,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1846,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1846,,,,,,,,False,0.016,-58.793,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.081
SWD-LINE-1864,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1864,circular pipe,0.4,,,1.0,0.00501,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.147,,source-data Manning estimate,0.147,0.088,0.169,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1864,,,,,,,,True,0.204,68.125,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.147
SWD-LINE-1866,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1866,circular pipe,0.4,,,1.0,0.01199,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.228,,source-data Manning estimate,0.228,0.137,0.262,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1866,,,,,,,,False,0.778,-25.363,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.228
SWD-LINE-1836,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1836,circular pipe,0.4,,,1.0,0.01805,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.28,,source-data Manning estimate,0.28,0.168,0.322,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1836,,,,,,,,True,0.272,116.456,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.28
SWD-LINE-1837,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1837,circular pipe,0.4,,,1.0,0.00768,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.183,,source-data Manning estimate,0.183,0.11,0.21,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1837,,,,,,,,True,0.218,65.894,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.183
SWD-LINE-1860,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1860,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1860,,,,,,,,False,0.519,-65.508,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.081
SWD-LINE-1838,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1838,circular pipe,0.4,,,1.0,0.00287,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.111,,source-data Manning estimate,0.111,0.067,0.128,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1838,,,,,,,,True,0.288,66.722,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.111
SWD-LINE-1863,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1863,circular pipe,0.4,,,1.0,0.00919,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.2,,source-data Manning estimate,0.2,0.12,0.23,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1863,,,,,,,,False,0.023,-120.954,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.2
SWD-LINE-1862,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1862,circular pipe,0.4,,,1.0,0.01183,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.227,,source-data Manning estimate,0.227,0.136,0.261,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1862,,,,,,,,False,0.108,-42.234,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.227
SWD-LINE-1861,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1861,circular pipe,0.4,,,1.0,0.01095,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.218,,source-data Manning estimate,0.218,0.131,0.251,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1861,,,,,,,,False,0.203,-49.509,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.218
SWD-LINE-1876,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1876,circular pipe,0.4,,,1.0,0.00075,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.057,,source-data Manning estimate,0.057,0.034,0.066,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1876,,,,,,,,False,1.069,-98.453,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.057
SWD-LINE-1868,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1868,circular pipe,0.4,,,1.0,0.00475,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.143,,source-data Manning estimate,0.143,0.086,0.164,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1868,,,,,,,,True,0.117,62.841,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.143
SWD-LINE-1869,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1869,circular pipe,0.4,,,1.0,0.01967,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.292,,source-data Manning estimate,0.292,0.175,0.336,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1869,,,,,,,,True,0.019,51.99,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.292
SWD-LINE-1865,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1865,circular pipe,0.4,,,1.0,0.01454,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.251,,source-data Manning estimate,0.251,0.151,0.289,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1865,,,,,,,,False,0.013,-77.436,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.251
SWD-LINE-1867,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1867,circular pipe,0.4,,,1.0,0.01002,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.208,,source-data Manning estimate,0.208,0.125,0.239,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1867,,,,,,,,False,1.305,-84.278,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.208
SWD-LINE-1875,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1875,circular pipe,0.4,,,1.0,0.01737,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.274,,source-data Manning estimate,0.274,0.164,0.315,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1875,,,,,,,,False,0.945,-162.772,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.274
SWD-LINE-1910,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1910,circular pipe,0.4,,,1.0,0.00196,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.092,,source-data Manning estimate,0.092,0.055,0.106,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1910,,,,,,,,False,0.371,-23.708,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.092
SWD-LINE-1962,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1962,circular pipe,0.4,,,1.0,0.01591,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.263,,source-data Manning estimate,0.263,0.158,0.302,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1962,,,,,,,,False,0.025,-66.827,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.263
SWD-LINE-1911,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1911,circular pipe,0.4,,,1.0,0.00807,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.187,,source-data Manning estimate,0.187,0.112,0.215,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1911,,,,,,,,False,0.527,-37.836,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.187
SWD-LINE-1909,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1909,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1909,,,,,,,,False,0.141,-133.787,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.081
SWD-LINE-1912,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1912,circular pipe,0.4,,,1.0,0.00141,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.078,,source-data Manning estimate,0.078,0.047,0.09,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1912,,,,,,,,False,0.276,-22.787,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.078
SWD-LINE-1915,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1915,circular pipe,0.4,,,1.0,0.00965,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.205,,source-data Manning estimate,0.205,0.123,0.236,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1915,,,,,,,,False,0.173,-71.388,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.205
